dataset,item_id,model,backend,num_templates,SensAcc,StabSem,StabSemStd,mean_accuracy,mean_f1,F1Sens,EvalArtifactScore,RealInstabilityScore,Category
arc_challenge,arc_challenge_0001,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0002,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0003,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0004,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0005,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0006,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0007,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0008,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0009,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0010,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0011,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0012,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0013,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0014,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_challenge,arc_challenge_0015,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0001,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0002,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0003,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0004,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0005,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0006,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0007,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0008,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0009,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0010,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0011,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0012,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0013,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0014,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
arc_easy,arc_easy_0015,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0001,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0002,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0003,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0004,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0005,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0006,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0007,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0008,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0009,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0010,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0011,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0012,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0013,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0014,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
boolq,boolq_0015,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,,,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0001,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0002,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0003,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0004,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0005,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0006,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0007,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,0.8571428571428571,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0008,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0009,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0010,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0011,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0012,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0013,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0014,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
squad,squad_0015,gpt-4o-mini,mock,8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,STABLE_OR_LOW_VARIANCE
