dataset,template_name,n,exact_match,f1
arc_challenge,bullet,15,1.0,0.0
arc_challenge,direct,15,1.0,0.0
arc_challenge,format_strict,15,1.0,0.0
arc_challenge,minimal,15,1.0,0.0
arc_challenge,narrative,15,1.0,0.0
arc_challenge,question_first,15,1.0,0.0
arc_challenge,role,15,1.0,0.0
arc_challenge,verbose,15,1.0,0.0
arc_easy,bullet,15,1.0,0.0
arc_easy,direct,15,1.0,0.0
arc_easy,format_strict,15,1.0,0.0
arc_easy,minimal,15,1.0,0.0
arc_easy,narrative,15,1.0,0.0
arc_easy,question_first,15,1.0,0.0
arc_easy,role,15,1.0,0.0
arc_easy,verbose,15,1.0,0.0
boolq,bullet,15,1.0,0.0
boolq,direct,15,1.0,0.0
boolq,format_strict,15,1.0,0.0
boolq,minimal,15,1.0,0.0
boolq,narrative,15,1.0,0.0
boolq,question_first,15,1.0,0.0
boolq,role,15,1.0,0.0
boolq,verbose,15,1.0,0.0
squad,bullet,15,1.0,0.9904761904761905
squad,direct,15,1.0,0.9904761904761905
squad,format_strict,15,1.0,0.9904761904761905
squad,minimal,15,1.0,0.9904761904761905
squad,narrative,15,1.0,0.9904761904761905
squad,question_first,15,1.0,0.9904761904761905
squad,role,15,1.0,0.9904761904761905
squad,verbose,15,1.0,0.9904761904761905
