dataset,model_name,task_type,sens_heuristic_mean,sens_heuristic_std,sens_judge_mean,sens_judge_std,eas_mean,eas_std,mean_heuristic,mean_judge,stab_sem_mean,n_artifact,n_genuine,n_stable,n_items,eas_ci_lo,eas_ci_hi,sh_ci_lo,sh_ci_hi,sj_ci_lo,sj_ci_hi
arc_challenge,llama3.1:8b,mcq,0.09186294524748381,0.17338774354266914,0.2505109680434083,0.21589450222980752,0.18751553625540573,0.20847430318076424,0.7333333333333333,0.6458333333333334,,6,2,22,30,0.11362617437441026,0.26284049634738926,0.03648168432194557,0.16168449895138837,0.17360447953450858,0.326352791074138
arc_challenge,llama3.2:1b,mcq,0.22937212933547235,0.23555896754413744,0.25142005692767727,0.2281778381781907,0.06560819455172848,0.15177769058916035,0.45,0.35,,3,10,17,30,0.01772513878160486,0.12585033930994963,0.14871569717319325,0.3140051284841147,0.16761527377678598,0.3337267242663464
arc_challenge,llama3.2:3b,mcq,0.07439924841090491,0.17115908662318183,0.1885715631956196,0.22471997644722605,0.11757966254362855,0.19271001286857967,0.6375,0.5666666666666667,,3,2,25,30,0.053136311818400596,0.18974600101760747,0.025457720525843105,0.14092935893357714,0.11334558098385888,0.2664005302944106
boolq,llama3.1:8b,boolean,0.028867513459481287,0.10985884360051028,0.19027768224980085,0.22562802078438712,0.16141016879031958,0.22018039017668942,0.9166666666666666,0.7916666666666666,,3,2,25,30,0.0893460500246336,0.24592686003962264,0.0,0.07216878364870322,0.11219431074418897,0.2769066233017501
boolq,llama3.2:1b,boolean,0.18410574332176755,0.21888449625144238,0.2460363508274147,0.2375963269008056,0.06193060750564715,0.14970173255029035,0.6,0.5291666666666667,,0,7,23,30,0.015208819785442754,0.12426065090694813,0.10666326277321954,0.259060689593015,0.16046476323975478,0.3256313506027113
boolq,llama3.2:3b,boolean,0.08371953832755044,0.1729915452455303,0.16141016879031958,0.2201803901766894,0.10996549168116428,0.1911057713554342,0.8708333333333333,0.8083333333333333,,3,2,25,30,0.04947070281316279,0.18767231331741446,0.028824860483126796,0.14658551263913158,0.09158192023360394,0.24374085275713783
squad,llama3.1:8b,open_ended,0.16035966709943966,0.1121347989164218,0.054852024868069164,0.1453726081768646,0.15842893635422792,0.10780460292668585,0.661914863933809,0.8958333333333334,,21,0,9,30,0.11962980542839916,0.1986607463433843,0.12143190508438657,0.1989831437747425,0.011023963796102461,0.11428828049176433
squad,llama3.2:1b,open_ended,0.15841045942307108,0.1186575072305946,0.09985941411147235,0.1854833315681887,0.1989295839017738,0.13133155068217364,0.34489385614616164,0.7708333333333334,,20,0,10,30,0.15203632144242943,0.24707986454899783,0.11673558385129895,0.20201328058669,0.03989147725558375,0.170910158913299
squad,llama3.2:3b,open_ended,0.17369402040004175,0.1260079264798617,0.06705287166088378,0.1546121255963107,0.21301958392869955,0.13014525062961604,0.47591847592728886,0.8541666666666666,,25,0,5,30,0.16446902969310448,0.2538152672984424,0.12993369399481905,0.2171641452879953,0.014433756729740644,0.12478545340512202
